"";"Nrpk";"Year";"Date";"Releve_area";"Polig_nr";"Manag_impact";"Nr_4digitcode";"Approach";"Uniq_no";"Uniq_Rprog";"Unipntno";"Eksp_spp";"Eksp_group";"Mont_pnt";"Eksp_str";"Address";"Rel_type";"Status";"Usage";"Ul_mown";"Ul_graz";"Ul_aftmh";"Ul_strgraz";"Exp_opin";"Statuslet";"Luordap";"Shr_score";"Litt_score";"Sur_score";"Mos_score";"Exp_score";"Swrd_score";"Pastr_scor";"Imp_score";"Str_score";"Spp_scortotal";"Spp_score50";"Totl_score";"Gr_qualit_exp";"Aegoppod";"Alopepra";"Anthrsyl";"Calamepi";"Cirsiarv";"Chaeraro";"Dactyglo";"Elytrrep";"Filipulm";"Heracsos";"Loliuper";"Lupinpol";"Ranunrep";"Solidcan";"Taraxoff";"Trifohyb";"Trifomed";"Agrimonia.eupatoria";"Alchemilla.vulgaris";"Briza.media";"Campanula.spp.";"Carex.panicea";"Carlina.vulgaris";"Centaurea.spp.";"Cirsium.heterophyllum";"Cirsium.oleraceum";"Dactylorhiza.spp.";"Dianthus.deltoides";"Fragaria.spp.";"Galium.boreale";"Galium.spp.";"Galium.verum";"Geranium.spp.";"Geum.spp.";"Hypericum.spp.";"Inula.salicina";"Knautia.arvensis";"Lathyrus.spp...Lotus.spp.";"Leontodon.hispidus.danubialis";"Leucanthemum.vulgare";"Listera.ovata";"Lychnis.flos.cuculi";"Lythrum.salicaria";"Medicago.lupulina";"Melampyrum.spp.";"Pilosella..Hieracium.species";"Pimpinella.saxifraga";"Plantago.media";"Platanthera.spp.";"Polygala.spp.";"Potentilla.argentea";"Potentilla.erecta";"Primula.veris";"Rhinanthus.spp.";"Scirpus.sylvaticus";"Sedum.acre";"Solidago.virgaurea";"Succisa.pratensis";"Thalictrum.spp.";"Thymus.spp.";"Tragopogon.pratensis";"Trifolium.dzelteniem.z.";"Trifolium.montanum";"Trollius.europaeus";"Valeriana.officinalis";"Veronica.longifolia";"Viscaria.vulgaris";"spp_richness_subplot";"avg_spp_richness_10subplots"
"11";13562;2025;20250910;"12.6";"6638_k";"no";6638;"kontr";"25_6638_k_b";"25_6638_k";"25_6638_k_b_1";"M.Medne";"M.Medne";1;"M.Medne";"Sarmite_Augustane_kontr";"basic_ZP";"Control";"meadow";"no";"no";"no";"";"exp_bad";"k";"DAP";0;-15;-10;0;-20;"-5";"15";0;-50;"17";"17";"-33";"very_bad";0;0;2;0;2;0;3;0;0;0;0;0;0;0;2;3;0;0;0;0;0;0;"0";1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;3;3,4
"12";13563;2025;20250910;"12.6";"6638_k";"no";6638;"kontr";"25_6638_k_b";"25_6638_k";"25_6638_k_b_10";"M.Medne";"M.Medne";10;"M.Medne";"Sarmite_Augustane_kontr";"basic_ZP";"Control";"meadow";"no";"no";"no";"";"exp_bad";"k";"DAP";0;-15;-10;0;-20;"-5";"15";0;-50;"17";"17";"-33";"very_bad";0;0;2;0;2;0;3;0;0;0;0;0;0;0;2;3;0;0;0;0;0;0;"0";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,4
"13";13564;2025;20250910;"12.6";"6638_k";"no";6638;"kontr";"25_6638_k_b";"25_6638_k";"25_6638_k_b_2";"M.Medne";"M.Medne";2;"M.Medne";"Sarmite_Augustane_kontr";"basic_ZP";"Control";"meadow";"no";"no";"no";"";"exp_bad";"k";"DAP";0;-15;-10;0;-20;"-5";"15";0;-50;"17";"17";"-33";"very_bad";0;0;2;0;2;0;3;0;0;0;0;0;0;0;2;3;0;0;0;0;0;0;"0";1;0;0;0;0;0;0;2;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;5;3,4
"14";13565;2025;20250910;"12.6";"6638_k";"no";6638;"kontr";"25_6638_k_b";"25_6638_k";"25_6638_k_b_3";"M.Medne";"M.Medne";3;"M.Medne";"Sarmite_Augustane_kontr";"basic_ZP";"Control";"meadow";"no";"no";"no";"";"exp_bad";"k";"DAP";0;-15;-10;0;-20;"-5";"15";0;-50;"17";"17";"-33";"very_bad";0;0;2;0;2;0;3;0;0;0;0;0;0;0;2;3;0;0;0;0;0;0;"0";0;0;0;0;0;0;0;2;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3;3,4
"15";13566;2025;20250910;"12.6";"6638_k";"no";6638;"kontr";"25_6638_k_b";"25_6638_k";"25_6638_k_b_4";"M.Medne";"M.Medne";4;"M.Medne";"Sarmite_Augustane_kontr";"basic_ZP";"Control";"meadow";"no";"no";"no";"";"exp_bad";"k";"DAP";0;-15;-10;0;-20;"-5";"15";0;-50;"17";"17";"-33";"very_bad";0;0;2;0;2;0;3;0;0;0;0;0;0;0;2;3;0;0;0;0;1;0;"0";0;0;0;0;0;0;0;2;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3,4
"16";13567;2025;20250910;"12.6";"6638_k";"no";6638;"kontr";"25_6638_k_b";"25_6638_k";"25_6638_k_b_5";"M.Medne";"M.Medne";5;"M.Medne";"Sarmite_Augustane_kontr";"basic_ZP";"Control";"meadow";"no";"no";"no";"";"exp_bad";"k";"DAP";0;-15;-10;0;-20;"-5";"15";0;-50;"17";"17";"-33";"very_bad";0;0;2;0;2;0;3;0;0;0;0;0;0;0;2;3;0;0;0;0;1;0;"0";2;0;0;0;0;0;0;1;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;5;3,4
"17";13568;2025;20250910;"12.6";"6638_k";"no";6638;"kontr";"25_6638_k_b";"25_6638_k";"25_6638_k_b_6";"M.Medne";"M.Medne";6;"M.Medne";"Sarmite_Augustane_kontr";"basic_ZP";"Control";"meadow";"no";"no";"no";"";"exp_bad";"k";"DAP";0;-15;-10;0;-20;"-5";"15";0;-50;"17";"17";"-33";"very_bad";0;0;2;0;2;0;3;0;0;0;0;0;0;0;2;3;0;0;0;0;0;0;"0";1;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;3,4
"18";13569;2025;20250910;"12.6";"6638_k";"no";6638;"kontr";"25_6638_k_b";"25_6638_k";"25_6638_k_b_7";"M.Medne";"M.Medne";7;"M.Medne";"Sarmite_Augustane_kontr";"basic_ZP";"Control";"meadow";"no";"no";"no";"";"exp_bad";"k";"DAP";0;-15;-10;0;-20;"-5";"15";0;-50;"17";"17";"-33";"very_bad";0;0;2;0;2;0;3;0;0;0;0;0;0;0;2;3;0;0;0;0;0;0;"0";1;0;0;0;0;0;0;3;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;5;3,4
"19";13570;2025;20250910;"12.6";"6638_k";"no";6638;"kontr";"25_6638_k_b";"25_6638_k";"25_6638_k_b_8";"M.Medne";"M.Medne";8;"M.Medne";"Sarmite_Augustane_kontr";"basic_ZP";"Control";"meadow";"no";"no";"no";"";"exp_bad";"k";"DAP";0;-15;-10;0;-20;"-5";"15";0;-50;"17";"17";"-33";"very_bad";0;0;2;0;2;0;3;0;0;0;0;0;0;0;2;3;0;0;0;0;0;0;"0";1;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3;3,4
"20";13571;2025;20250910;"12.6";"6638_k";"no";6638;"kontr";"25_6638_k_b";"25_6638_k";"25_6638_k_b_9";"M.Medne";"M.Medne";9;"M.Medne";"Sarmite_Augustane_kontr";"basic_ZP";"Control";"meadow";"no";"no";"no";"";"exp_bad";"k";"DAP";0;-15;-10;0;-20;"-5";"15";0;-50;"17";"17";"-33";"very_bad";0;0;2;0;2;0;3;0;0;0;0;0;0;0;2;3;0;0;0;0;0;0;"0";0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3;3,4
"21";4961;2024;20240604;"12.6";"7071_k";"no";7071;"kontr";"24_7071_k_b";"24_7071_k";"24_7071_k_b_1";"F_Bernert";"interni";1;"M_Udre";"Inta_Torgane_kontr";"basic_ZP";"Control";"pasture";"no";"no";"no";"na";"exp_verybad";"k";"LU";0;-15;-10;0;-20;"-15";"na";0;-45;"12.5";"12.5";"-32.5";"very_bad";2;2;3;0;2;0;4;2;1;0;0;0;1;0;3;0;0;0;0;0;0;0;"0";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2,5
"22";4962;2024;20240604;"12.6";"7071_k";"no";7071;"kontr";"24_7071_k_b";"24_7071_k";"24_7071_k_b_10";"F_Bernert";"interni";10;"M_Udre";"Inta_Torgane_kontr";"basic_ZP";"Control";"pasture";"no";"no";"no";"na";"exp_verybad";"k";"LU";0;-15;-10;0;-20;"-15";"na";0;-45;"12.5";"12.5";"-32.5";"very_bad";2;2;3;0;2;0;4;2;1;0;0;0;1;0;3;0;0;0;0;0;0;0;"0";1;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2,5
"23";4963;2024;20240604;"12.6";"7071_k";"no";7071;"kontr";"24_7071_k_b";"24_7071_k";"24_7071_k_b_2";"F_Bernert";"interni";2;"M_Udre";"Inta_Torgane_kontr";"basic_ZP";"Control";"pasture";"no";"no";"no";"na";"exp_verybad";"k";"LU";0;-15;-10;0;-20;"-15";"na";0;-45;"12.5";"12.5";"-32.5";"very_bad";2;2;3;0;2;0;4;2;1;0;0;0;1;0;3;0;0;0;0;0;0;0;"0";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;2,5
"24";4964;2024;20240604;"12.6";"7071_k";"no";7071;"kontr";"24_7071_k_b";"24_7071_k";"24_7071_k_b_3";"F_Bernert";"interni";3;"M_Udre";"Inta_Torgane_kontr";"basic_ZP";"Control";"pasture";"no";"no";"no";"na";"exp_verybad";"k";"LU";0;-15;-10;0;-20;"-15";"na";0;-45;"12.5";"12.5";"-32.5";"very_bad";2;2;3;0;2;0;4;2;1;0;0;0;1;0;3;0;0;0;0;0;1;0;"0";3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2,5
"25";4965;2024;20240604;"12.6";"7071_k";"no";7071;"kontr";"24_7071_k_b";"24_7071_k";"24_7071_k_b_4";"F_Bernert";"interni";4;"M_Udre";"Inta_Torgane_kontr";"basic_ZP";"Control";"pasture";"no";"no";"no";"na";"exp_verybad";"k";"LU";0;-15;-10;0;-20;"-15";"na";0;-45;"12.5";"12.5";"-32.5";"very_bad";2;2;3;0;2;0;4;2;1;0;0;0;1;0;3;0;0;0;0;0;1;0;"0";1;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2,5
"26";4966;2024;20240604;"12.6";"7071_k";"no";7071;"kontr";"24_7071_k_b";"24_7071_k";"24_7071_k_b_5";"F_Bernert";"interni";5;"M_Udre";"Inta_Torgane_kontr";"basic_ZP";"Control";"pasture";"no";"no";"no";"na";"exp_verybad";"k";"LU";0;-15;-10;0;-20;"-15";"na";0;-45;"12.5";"12.5";"-32.5";"very_bad";2;2;3;0;2;0;4;2;1;0;0;0;1;0;3;0;0;0;0;0;1;0;"0";0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2,5
"27";4967;2024;20240604;"12.6";"7071_k";"no";7071;"kontr";"24_7071_k_b";"24_7071_k";"24_7071_k_b_6";"F_Bernert";"interni";6;"M_Udre";"Inta_Torgane_kontr";"basic_ZP";"Control";"pasture";"no";"no";"no";"na";"exp_verybad";"k";"LU";0;-15;-10;0;-20;"-15";"na";0;-45;"12.5";"12.5";"-32.5";"very_bad";2;2;3;0;2;0;4;2;1;0;0;0;1;0;3;0;0;0;1;0;0;0;"0";0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2,5
"28";4968;2024;20240604;"12.6";"7071_k";"no";7071;"kontr";"24_7071_k_b";"24_7071_k";"24_7071_k_b_7";"F_Bernert";"interni";7;"M_Udre";"Inta_Torgane_kontr";"basic_ZP";"Control";"pasture";"no";"no";"no";"na";"exp_verybad";"k";"LU";0;-15;-10;0;-20;"-15";"na";0;-45;"12.5";"12.5";"-32.5";"very_bad";2;2;3;0;2;0;4;2;1;0;0;0;1;0;3;0;0;0;0;0;0;0;"0";0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2,5
"29";4969;2024;20240604;"12.6";"7071_k";"no";7071;"kontr";"24_7071_k_b";"24_7071_k";"24_7071_k_b_8";"F_Bernert";"interni";8;"M_Udre";"Inta_Torgane_kontr";"basic_ZP";"Control";"pasture";"no";"no";"no";"na";"exp_verybad";"k";"LU";0;-15;-10;0;-20;"-15";"na";0;-45;"12.5";"12.5";"-32.5";"very_bad";2;2;3;0;2;0;4;2;1;0;0;0;1;0;3;0;0;0;0;0;0;0;"0";0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2,5
"30";4970;2024;20240604;"12.6";"7071_k";"no";7071;"kontr";"24_7071_k_b";"24_7071_k";"24_7071_k_b_9";"F_Bernert";"interni";9;"M_Udre";"Inta_Torgane_kontr";"basic_ZP";"Control";"pasture";"no";"no";"no";"na";"exp_verybad";"k";"LU";0;-15;-10;0;-20;"-15";"na";0;-45;"12.5";"12.5";"-32.5";"very_bad";2;2;3;0;2;0;4;2;1;0;0;0;1;0;3;0;0;0;0;0;1;0;"0";1;0;0;0;0;0;0;2;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;6;2,5
"31";1371;2023;20230615;"12.6";"6898_K";"no";6898;"kontr";"23_6898_K_b";"23_6898_K";"23_6898_K_b_1";"S_Rusina";"Rusina";1;"S_Rusina";"Dace_Veidenbauma_kontr";"basic_ZP";"Control";"meadow";"na";"na";"no";"no";"na";"k";"LU";5;-10;0;0;-20;"-15";"na";0;-40;"8";"8";"-32";"very_bad";1;0;0;0;0;0;2;2;0;0;4;0;0;0;2;0;0;0;0;0;0;0;"0";2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1,6
"32";1372;2023;20230615;"12.6";"6898_K";"no";6898;"kontr";"23_6898_K_b";"23_6898_K";"23_6898_K_b_10";"S_Rusina";"Rusina";10;"S_Rusina";"Dace_Veidenbauma_kontr";"basic_ZP";"Control";"meadow";"na";"na";"no";"no";"na";"k";"LU";5;-10;0;0;-20;"-15";"na";0;-40;"8";"8";"-32";"very_bad";1;0;0;0;0;0;2;2;0;0;4;0;0;0;2;0;0;0;0;0;0;0;"0";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;1,6
"33";1373;2023;20230615;"12.6";"6898_K";"no";6898;"kontr";"23_6898_K_b";"23_6898_K";"23_6898_K_b_2";"S_Rusina";"Rusina";2;"S_Rusina";"Dace_Veidenbauma_kontr";"basic_ZP";"Control";"meadow";"na";"na";"no";"no";"na";"k";"LU";5;-10;0;0;-20;"-15";"na";0;-40;"8";"8";"-32";"very_bad";1;0;0;0;0;0;2;2;0;0;4;0;0;0;2;0;0;0;0;0;0;0;"0";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,6
"34";1374;2023;20230615;"12.6";"6898_K";"no";6898;"kontr";"23_6898_K_b";"23_6898_K";"23_6898_K_b_3";"S_Rusina";"Rusina";3;"S_Rusina";"Dace_Veidenbauma_kontr";"basic_ZP";"Control";"meadow";"na";"na";"no";"no";"na";"k";"LU";5;-10;0;0;-20;"-15";"na";0;-40;"8";"8";"-32";"very_bad";1;0;0;0;0;0;2;2;0;0;4;0;0;0;2;0;0;0;0;0;0;0;"0";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;1,6
"35";1375;2023;20230615;"12.6";"6898_K";"no";6898;"kontr";"23_6898_K_b";"23_6898_K";"23_6898_K_b_4";"S_Rusina";"Rusina";4;"S_Rusina";"Dace_Veidenbauma_kontr";"basic_ZP";"Control";"meadow";"na";"na";"no";"no";"na";"k";"LU";5;-10;0;0;-20;"-15";"na";0;-40;"8";"8";"-32";"very_bad";1;0;0;0;0;0;2;2;0;0;4;0;0;0;2;0;0;0;0;0;1;0;"0";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;1,6
"36";1376;2023;20230615;"12.6";"6898_K";"no";6898;"kontr";"23_6898_K_b";"23_6898_K";"23_6898_K_b_5";"S_Rusina";"Rusina";5;"S_Rusina";"Dace_Veidenbauma_kontr";"basic_ZP";"Control";"meadow";"na";"na";"no";"no";"na";"k";"LU";5;-10;0;0;-20;"-15";"na";0;-40;"8";"8";"-32";"very_bad";1;0;0;0;0;0;2;2;0;0;4;0;0;0;2;0;0;0;0;0;2;0;"0";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;1,6
